id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
FL-0375,"Darwin","Emma","Darwin","W. E.",1852-07-15,"[15 July? 1852]","Down","","DAR 219.1: 4","","","FL-0375.xml"
FL-0376,"Darwin","Emma","Darwin","W. E.",1852-08-18,"[after 18 August 1852]","Down","","DAR 219.1: 5","","","FL-0376.xml"
FL-0377,"Darwin","Emma","Darwin","W. E.",1852-11-23,"[23 November 1852]","Down","","DAR 219.1: 6","","","FL-0377.xml"
FL-0378,"Darwin","Emma","Darwin","W. E.",1855-10-06,"[6 October 1855]","Downe","","DAR 219.1: 7","","","FL-0378.xml"
FL-0379,"Darwin","Emma","Darwin","W. E.",1855-10-23,"[23? October 1855]","Downe","","DAR 219.1: 8","","","FL-0379.xml"
FL-0380,"Darwin","Emma","Darwin","W. E.",1856-03-20,"[20 March 1856]","Downe","","DAR 219.1: 9","","","FL-0380.xml"
FL-0381,"Darwin","Emma","Darwin","W. E.",1856-03-24,"[24? March 1856]","","","DAR 219.1: 10","","","FL-0381.xml"
FL-0382,"Darwin","Emma","Darwin","W. E.",1856-04-02,"[2 April 1856]","Downe","","DAR 219.1: 11","","","FL-0382.xml"
FL-0383,"Darwin","Emma","Darwin","W. E.",1856-06-01,"[early June 1856]","Downe","","DAR 219.1: 12","","","FL-0383.xml"
FL-0384,"Darwin","Emma","Darwin","W. E.",1856-12-01,"[1 December 1856]","Downe","","DAR 219.1: 13","","","FL-0384.xml"
FL-0385,"Darwin","Emma","Darwin","W. E.",1856-01-01,"[late 1856 to early 1857?]","Down","","DAR 219.1: 14","","","FL-0385.xml"
FL-0386,"Darwin","Emma","Darwin","W. D.",1857-02-01,"[c. February 1857]","","","DAR 219.1: 15","","","FL-0386.xml"
FL-0387,"Darwin","Emma","Darwin","W. E.",1857-02-01,"[c. February 1857]","Down","","DAR 219.1: 16","","","FL-0387.xml"
FL-0388,"Darwin","Emma","Darwin","W. E.",1857-09-25,"[25? September 1857]","Moor Park","","DAR 219.1: 17","","","FL-0388.xml"
FL-0389,"Darwin","Emma","Darwin","W. E.",1858-03-11,"[11? March 1858]","Downe","","DAR 219.1: 18","","","FL-0389.xml"
FL-0390,"Darwin","Emma","Darwin","W. E.",1858-05-07,"[7 May 1858]","","","DAR 219.1: 19","","","FL-0390.xml"
FL-0391,"Darwin","Emma","Darwin","W. E.",1858-05-20,"[20 May 1858]","","","DAR 219.1: 20","","","FL-0391.xml"
